Department,Smester,Subject Code,Subject Name,
CE,1,MA143,ENGINEERING MATHEMATICS-I,
CE,1,CE143,COMPUTER CONCEPTS & PROGRAMMING,
CE,1,EE145 ,BASICS OF ELECTRONICS & ELECTRICAL ENGINEERING,
CE,1,IT144,ICT WORKSHOP,
CE,1,PY142,ENGINEERING PHYSICS-I,
CE,1,FS101A,FOUNDATION COURSE ON MATHEMATICS AND PHYSICS,
CE,1,HS101.02,A COMMUNICATIVE ENGLISH,
CE,2,MA144,ENGINEERING MATHEMATICS-II ,
CE,2,CE144,OBJECT ORIENTED PROGRAMMING WITH C++,
CE,2,ME145,ELEMENTS OF ENGINEERING,
CE,2,CL144.02,A ENVIRONMENTAL SCIENCES,
CE,2,PY143,ENGINEERING PHYSICS-II,
CE,2,FS102A,FOUNDATION COURSE ON CHEMISTRY AND BIOLOGY,
CE,3,MA245,DISCRETE MATHEMATICS,
CE,3,CE251,JAVA PROGRAMMING,
CE,3,CE252,DIGITAL ELECTRONICS,
CE,3,CE253,DATA COMMUNICATION & NETWORKING,
CE,3,CE244,SOFTWARE GROUP PROJECT-1,
CE,4,CE245,DATA STRUCTURE AND ALGORITHMS,
CE,4,CE246,DATABASE MANAGEMENT SYSTEM,
CE,4,CE258,MICROPROCESSOR AND COMPUTER ORGANIZATION,
CE,4,CE259,PROGRAMMING IN PYTHON,
CE,4,CE255,SOFTWARE GROUP PROJECT-2,
CE,5,CE354,OPERATING SYSTEM,
CE,5,CE355,DESIGN AND ANALYSIS OF ALGORITHMS,
CE,5,CE343,SOFTWARE ENGINEERING,
CE,5,CE373,MOBILE APPLICATION DEVELOPMENT,
CE,5,CE377,ADVANCED WEB TECHNOLOGY,
CE,5,CE356,SOFTWARE GROUP PROJECT-3,
CE,6,CE357,ARTIFICIAL INTELLIGENCE,
CE,6,CE348,INFORMATION SECURITY,
CE,6,CE349,THEORY OF COMPUTATION,
CE,6,CE358,COMPUTER NETWORKS,
CE,6,CE374,SERVICE ORIENTED COMPUTING,
CE,6,CE375,DIGITAL IMAGE PROCESSING,
CE,6,CE359,SOFTWARE GROUP PROJECT-4,
CE,7,CE441,BIG DATA ANALYTICS,
CE,7,CE442,DESIGN OF LANAGUAGE PROCESSORS,
CE,7,CE443,CLOUD COMPUTING,
CE,7,CE444,INTERNET OF THINGS,
CE,7,CE473,MACHINE LEARNING,
CE,8,CE447,SOFTWARE PROJECT MAJOR,
IT,1,MA143,ENGINEERING MATHEMATICS-I,
IT,1,CE143,COMPUTER CONCEPTS & PROGRAMMING,
IT,1,EE145 ,BASICS OF ELECTRONICS & ELECTRICAL ENGINEERING,
IT,1,IT144,ICT WORKSHOP,
IT,1,PY142,ENGINEERING PHYSICS-I,
IT,1,FS101A,FOUNDATION COURSE ON MATHEMATICS AND PHYSICS,
IT,1,HS101.02,A COMMUNICATIVE ENGLISH,
IT,2,MA144,ENGINEERING MATHEMATICS-II ,
IT,2,CE144,OBJECT ORIENTED PROGRAMMING WITH C++,
IT,2,ME145,ELEMENTS OF ENGINEERING,
IT,2,CL144.02,A ENVIRONMENTAL SCIENCES,
IT,2,PY143,ENGINEERING PHYSICS-II,
IT,2,FS102A,FOUNDATION COURSE ON CHEMISTRY AND BIOLOGY,
IT,3,MA253,DISCRETE MATHEMATICS AND ALGEBRA,
IT,3,IT250,DIGITAL ELECTRONICS,
IT,3,IT251,JAVA PROGRAMMING,
IT,3,IT252,DATA COMMUNICATION & NETWORKING,
IT,3,IT253,SOFTWARE GROUP PROJECT,
IT,4,MA261,STATISTICAL AND NUMBERICAL,NUMERICAL TECHNIQUES
IT,4,IT254,COMPUTER ARCHITECTURE AND MICROPROCESSOR INTERFACING,
IT,4,IT255,WEB TECHNOLOGIES,
IT,4,IT256,DATA STRUCTURE AND ALGORITHMS,
IT,4,IT257,DATABASE MANAGEMENT SYSTEM,
IT,4,IT258,SOFTWARE GROUP PROJECT,
IT,5,IT341,DESIGN & ANALYSIS OF ALGORITHM,
IT,5,IT342,ADVANCED WEB TECHNOLOGY,
IT,5,IT343,OPERATING SYSTEM,
IT,5,IT344,COMPUTER NETWORKS,
IT,5,IT345,SOFTWARE GROUP PROJECT,
IT,5,IT371,ADVANCED JAVA PROGRAMMING,
IT,5,IT373,EMBEDDED SYSTEMS,
IT,5,IT374,PYTHON PROGRAMMING,
IT,6,IT347,SOFTWARE ENGINEERING,
IT,6,IT348,CRYPTOGRAPHY & NETWORK SECURITY,
IT,6,IT349,WIRELESS COMMUNICATION & MOBILE COMPUTING,
IT,6,IT375,SERVICE ORIENTED  ARCHITECTURE,
IT,6,IT376,IMAGE PROCESSING,
IT,6,IT377,MACHINE LEARNING & APPLICATIONS,
IT,6,IT350,SOFTWARE GROUP PROJECT,
IT,7,IT441,DATA SCIENCE,
IT,7,IT442,ADVANCED COMPUTING,
IT,7,IT443,LANGUAGE PROCESSOR,
IT,7,IT444,INTERNET OF THINGS,
IT,7,IT471,FOUNDATION OF MODERN NETWORKING,
IT,7,IT472,HIGH PERFORMANCE COMPUTER ARCHITECTURE,
IT,7,IT473,ARTIFICIAL INTELLIGENCE,
IT,7,IT445,SOFTWARE GROUP PROJECT,
IT,8,IT407,SOFTWARE PROJECT MAJOR,
ME,1,MA143,ENGINEERING MATHEMATICS-1,
ME,1,ME146,ENGINEERING GRAPHICS,
ME,1,CL143,ENGINEERING MECHANICS,
ME,1,ME142,WORKSHOP PRACTICES,
ME,1,PY142,ENGINEERING PHYSICS-1,
ME,1,CL144.01,A ENVIRONMENTAL SCIENCES,
ME,1,FS101A,FOUNDATION COURSE ON MATHEMATICS AND PHYSICS,
ME,1,HS101.02,A COMMUNICATIVE ENGLISH,
ME,2,MA144,ENGINEERING MATHEMATICS-2,
ME,2,ME147,BASICS OF CIVIL & MECHANICAL ENGINEERING,
ME,2,EE145 ,BASICS OF ELECTRONICS & ELECTRICAL ENGINEERING,
ME,2,IT143,FUNDAMENTALS OF COMPUTER PROGRAMMING,
ME,2,PY143,ENGINEERING PHYSICS-2,
ME,2,FS102,FOUNDATION COURSE ON CHEMISTRY AND BIOLOGY,
ME,3,MA251,ENGINEERING MATHEMATICS-3,
ME,3,CL243,MECHANICS OF SOLIDS,
ME,3,ME242,ENGINEERING THERMODYNAMICS,
ME,3,ME253,MECHANISMS AND MACHINES,
ME,3,ME251,CASTING & JOINING PROCESSES,
ME,3,HS121.02 A,"CREATIVITY, PROBLEM SOLVING AND INNOVATION",
ME,4,ME252,MACHNING & FORMING PROCESSES,
ME,4,ME246,MATERIAL ENGINEERING & METALLURGY,
ME,4,ME247,FLUID MECHANICS,
ME,4,ME250,DYNAMICS OF MACHINES,
ME,4,MA248,NUMERICAL AND STATISTICAL METHODS,
ME,4,HS111.02A,HUMAN VALUES & PROFESSIONAL ETHICS,
ME,5,ME350,THERMAL ENGINEERING,
ME,5,ME341,DESIGN CONCEPT & MACHINE DRAWING,
ME,5,ME342,HEAT & MASS TRANSFER,
ME,5,ME352,METROLOGY & QUALITY CONTROL,
ME,5,HS131.02A,COMMUNICATION AND SOFT SKILLS,
ME,6,ME344,REFRIGERATION AND AIR-CONDITIONING,
ME,6,ME348,PRODUCTION TECHNOLOGY,
ME,6,ME354,FLUID MECHINES,
ME,6,ME355,DESIGN OF MACHINE ELEMENTS,
ME,6,ME353,COMPUTER AIDED DESIGN,
ME,6,HS132.02A,CONTRIBUTOR PERSONALITY DEVELOPMENT,
ME,7,ME441.01,QUALITY ENGINEERING & ASSURANCE,
ME,7,ME442,COMPUTER AIDED DESIGN,
ME,7,ME443,OPERATION RESEARCH,
ME,7,ME444.01,DESIGN OF MACHINE ELEMENTS 2,
ME,7,ME445,ALTERNATIVE ENERGY SOURCES,
ME,8,ME447,POWER PLANT ENGINEERING,
ME,8, ME448,COMPUTER AIDED MANUFACTURING,
ME,8,ME449,INDUSTRIAL ENGINEERING & MANAGEMENT,
ME,8,ME450,CONTROL ENGINEERING,
EE,1,MA143,ENGINEERING MATHEMATICS-1,
EE,1,ME146,ENGINEERING GRAPHICS,
EE,1,ME142,WORKSHOP PRACTICES,
EE,1,CL143,ENGINEERING PRACTICES,
EE,1,PY141.01,ENGINEERING PHYSICS,
EE,2,MA144,ENGINEERING MATHEMATICS-2,
EE,2,ME147,BASICS OF CIVIL & MECHANICAL ENGINEERING,
EE,2,CL142.01,ENVIROMENTAL SCIENCES,
EE,2,EE145 ,BASICS OF ELECTRONICS & ELECTRICAL ENGINEERING,
EE,2,IT143,FUNDAMENTALS OF COMPUTER PROGRAMMING,
EE,3,MA241,ENGINEERING MATHEMATICS-III,
EE,3,EE241,ANALOG AND DIGITAL ELECTRONICS,
EE,3,EE242,CIRCUIT THEORY,
EE,3,EE243,ELECTRICAL MEASUREMENTS & INDUSTRIAL INSTRUMENTATION,
EE,4,EE244,ELECTRICAL POWER GENERATION AND ITS ECONOMICS,
EE,4,EE245,CONTROL SYSTEMS,
EE,4,EE246,MICROPROCESSOR & MICROCONTROLLER,
EE,4,EE247,TRANSFORMERS & INDUCTION MACHINES,
EE,5,EE341,ELECTRICAL POWER TRANSMISSION AND DISTRIBUTION,
EE,5,EE342,SYNCHRONOUS AND DC MACHINES,
EE,5,EE343,POWER ELECTRONICS AND DRIVES - I,
EE,5,EE345,ELECTRICAL PRODUCT SURVEY,
EE,6,EE346,DIGITAL SIGNAL PROCESSING,
EE,6,EE347,PROGRAMMABLE LOGIC CONTROLLERS AND INDUSTRIAL AUTOMATION,
EE,6,EE348,POWER ELECTRONICS AND DRIVES - II,
EE,6,EE349,FAULT ANALYSIS AND SWITCHGEAR,
EE,6,EE376,SPECIAL ELECTRICAL MACHINES AND APPLICATIONS,
EE,6,EE377,EMBEDDED SYSTEMS,
EE,7,EE441,POWER SYSTEM OPERATIONS AND CONTROL,
EE,7,EE442,POWER SYSTEM PROTECTION,
EE,7,EE443,ELECTRICALMACHINE DESIGN,
EE,7,EE444,SIMULATION LAB,
EE,7,EE471,POWER ELECTRONICS APPLICATIONS IN POWER SYSTEM,
EE,7,EE472,COMMUNICATION ENGINEERING,
EE,8,EE446,COMMISSIONING AND TESTING OF ELECTRICAL,
EE,8,EE447,MODELING AND CONTROL OF RENEWABLE ENERGY,
EC,1,MA143,ENGINEERING MATHEMATICS-I,
EC,1,CE143,COMPUTER CONCEPTS & PROGRAMMING,
EC,1,EE145 ,BASICS OF ELECTRONICS & ELECTRICAL ENGINEERING,
EC,1,IT144,ICT WORKSHOP,
EC,1,PY142,ENGINEERING PHYSICS-I,
EC,1,FS101A,FOUNDATION COURSE ON MATHEMATICS AND PHYSICS,
EC,1,HS101.02,A COMMUNICATIVE ENGLISH,
EC,2,MA144,ENGINEERING MATHEMATICS-II ,
EC,2,CE144,OBJECT ORIENTED PROGRAMMING WITH C++,
EC,2,ME145,ELEMENTS OF ENGINEERING,
EC,2,CL144.02,A ENVIRONMENTAL SCIENCES,
EC,2,PY143,ENGINEERING PHYSICS-II,
EC,2,FS102A,FOUNDATION COURSE ON CHEMISTRY AND BIOLOGY,
EC,3,MA243.01,TRANSFORMS AND VECTOR DIFFERENTIAL CALCULUS,
EC,3,EC241,DIGITAL ELECTRONICS & LOGIC DESIGN,
EC,3,EC242,NETWORK THEORY,
EC,3,EC243,ELECTRONIC DEVICES & MEASUREMENTS,
EC,3,EC281.01,INTRODUCTION TO MATLAB PROGRAMMING,
EC,4,EC245,CONTROL SYSTEMS,
